Date,Ticker,Side,Quantity,Price,Fees,Currency
14/2/2020,BOQ.ASX,BUY,512,7.33,,AUD
6/5/2020,GMG.ASX,BUY,261,14.37,,AUD
20/5/2020,WES.ASX,BUY,97,38.68,,AUD
28/5/2020,MQG.ASX,BUY,33,113.5,,AUD
2/6/2020,MQG.ASX,BUY,33,113.05,,AUD
3/7/2020,NAB.ASX,BUY,200,18.78,,AUD
20/8/2020,WOR.ASX,BUY,426,8.8,,AUD
17/9/2020,SCG.ASX,BUY,1616,2.32,,AUD
29/9/2020,CBA.ASX,BUY,57,66.11,,AUD
22/1/2021,TLS.ASX,BUY,1179,3.18,,AUD
2/3/2021,CPU.ASX,BUY,279,13.42,,AUD
22/10/2021,AMC.ASX,BUY,233,16.08,,AUD
15/2/2022,MPL.ASX,BUY,1172,3.2,,AUD
8/7/2022,SGP.ASX,BUY,1014,3.7,,AUD
24/8/2022,ORG.ASX,BUY,614,6.11,,AUD
20/12/2022,CKF.ASX,BUY,516,7.27,,AUD
14/2/2020,SYI.ASX,BUY,219,30.46,,AUD
14/2/2020,VAF.ASX,BUY,127,52.44,,AUD
14/2/2020,VAP.ASX,BUY,68,98.2,,AUD
14/2/2020,VGB.ASX,BUY,125,53.42,,AUD
14/2/2020,VHY.ASX,BUY,106,63,,AUD
14/2/2020,WDIV.ASX,BUY,311,21.46,,AUD
26/10/2023,SCG.ASX,SELL,1616,2.4,,AUD
1/11/2023,CPU.ASX,SELL,279,24.78,,AUD
1/11/2023,ORG.ASX,SELL,614,8.47,,AUD
14/11/2023,CKF.ASX,SELL,516,9.77,,AUD
14/11/2023,BOQ.ASX,BUY,648,5.51,,AUD
14/11/2023,GMG.ASX,BUY,20,22.77,,AUD
14/11/2023,WES.ASX,BUY,23,53.24,,AUD
14/11/2023,MQG.ASX,BUY,7,160.12,,AUD
14/11/2023,MQG.ASX,BUY,7,160.12,,AUD
14/11/2023,NAB.ASX,BUY,28,27.97,,AUD
14/11/2023,WOR.ASX,SELL,61,17.53,,AUD
14/11/2023,CBA.ASX,BUY,5,102.28,,AUD
14/11/2023,TLS.ASX,BUY,472,3.87,,AUD
14/11/2023,AMC.ASX,BUY,222,14.04,,AUD
14/11/2023,MPL.ASX,BUY,613,3.58,,AUD
14/11/2023,SGP.ASX,BUY,668,3.8,,AUD
14/11/2023,SYI.ASX,BUY,24,26.33,,AUD
14/11/2023,VAF.ASX,BUY,19,43.87,,AUD
14/11/2023,VAP.ASX,BUY,17,74.88,,AUD
14/11/2023,VGB.ASX,BUY,18,44.68,,AUD
14/11/2023,VHY.ASX,SELL,9,66.03,,AUD
14/11/2023,WDIV.ASX,BUY,57,17.36,,AUD
15/11/2023,SYI.ASX,SELL,243,26.33,,AUD
